date,slot_id,period,checkpoint,checkpoint_time,camera,status,source_file,output_file,window_start,window_end,offset_seconds,duration_seconds
2026-06-22,MON_P4,P4,CP1_1150,11:50:00,back,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-22\back\1219_Back_Second_Floor_20260622114839_20260622123658_16762034.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-22\MON_P4\CP1_1150\back.mp4,11:50:00,11:50:20,81.0,20.0
2026-06-22,MON_P4,P4,CP1_1150,11:50:00,front,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-22\front\1219_Front_Second_Floor_20260622112603_20260622121433_15832587.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-22\MON_P4\CP1_1150\front.mp4,11:50:00,11:50:20,1437.0,20.0
2026-06-22,MON_P4,P4,CP2_1200,12:00:00,back,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-22\back\1219_Back_Second_Floor_20260622114839_20260622123658_16762034.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-22\MON_P4\CP2_1200\back.mp4,12:00:00,12:00:20,681.0,20.0
2026-06-22,MON_P4,P4,CP2_1200,12:00:00,front,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-22\front\1219_Front_Second_Floor_20260622112603_20260622121433_15832587.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-22\MON_P4\CP2_1200\front.mp4,12:00:00,12:00:20,2037.0,20.0
2026-06-22,MON_P4,P4,CP3_1210,12:10:00,back,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-22\back\1219_Back_Second_Floor_20260622114839_20260622123658_16762034.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-22\MON_P4\CP3_1210\back.mp4,12:10:00,12:10:20,1281.0,20.0
2026-06-22,MON_P4,P4,CP3_1210,12:10:00,front,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-22\front\1219_Front_Second_Floor_20260622112603_20260622121433_15832587.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-22\MON_P4\CP3_1210\front.mp4,12:10:00,12:10:20,2637.0,20.0
2026-06-22,MON_P4,P4,CP4_1220,12:20:00,back,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-22\back\1219_Back_Second_Floor_20260622114839_20260622123658_16762034.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-22\MON_P4\CP4_1220\back.mp4,12:20:00,12:20:20,1881.0,20.0
2026-06-22,MON_P4,P4,CP4_1220,12:20:00,front,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-22\front\1219_Front_Second_Floor_20260622121433_20260622124459_16069881.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-22\MON_P4\CP4_1220\front.mp4,12:20:00,12:20:20,327.0,20.0
2026-06-22,MON_P4,P4,CP5_1230,12:30:00,back,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-22\back\1219_Back_Second_Floor_20260622114839_20260622123658_16762034.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-22\MON_P4\CP5_1230\back.mp4,12:29:40,12:30:00,2461.0,20.0
2026-06-22,MON_P4,P4,CP5_1230,12:30:00,front,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-22\front\1219_Front_Second_Floor_20260622121433_20260622124459_16069881.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-22\MON_P4\CP5_1230\front.mp4,12:29:40,12:30:00,907.0,20.0
