date,slot_id,period,checkpoint,checkpoint_time,camera,status,source_file,output_file,window_start,window_end,offset_seconds,duration_seconds
2026-06-30,TUE_P2,P2,CP1_1000,10:00:00,back,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-30\back\1219_Back_Second_Floor_20260630095806_20260630104519_20039666.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-30\TUE_P2\CP1_1000\back.mp4,10:00:00,10:00:20,114.0,20.0
2026-06-30,TUE_P2,P2,CP1_1000,10:00:00,front,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-30\front\1219_Front_Second_Floor_20260630094611_20260630103417_18923380.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-30\TUE_P2\CP1_1000\front.mp4,10:00:00,10:00:20,829.0,20.0
2026-06-30,TUE_P2,P2,CP2_1010,10:10:00,back,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-30\back\1219_Back_Second_Floor_20260630095806_20260630104519_20039666.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-30\TUE_P2\CP2_1010\back.mp4,10:10:00,10:10:20,714.0,20.0
2026-06-30,TUE_P2,P2,CP2_1010,10:10:00,front,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-30\front\1219_Front_Second_Floor_20260630094611_20260630103417_18923380.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-30\TUE_P2\CP2_1010\front.mp4,10:10:00,10:10:20,1429.0,20.0
2026-06-30,TUE_P2,P2,CP3_1020,10:20:00,back,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-30\back\1219_Back_Second_Floor_20260630095806_20260630104519_20039666.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-30\TUE_P2\CP3_1020\back.mp4,10:20:00,10:20:20,1314.0,20.0
2026-06-30,TUE_P2,P2,CP3_1020,10:20:00,front,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-30\front\1219_Front_Second_Floor_20260630094611_20260630103417_18923380.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-30\TUE_P2\CP3_1020\front.mp4,10:20:00,10:20:20,2029.0,20.0
2026-06-30,TUE_P2,P2,CP4_1030,10:30:00,back,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-30\back\1219_Back_Second_Floor_20260630095806_20260630104519_20039666.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-30\TUE_P2\CP4_1030\back.mp4,10:30:00,10:30:20,1914.0,20.0
2026-06-30,TUE_P2,P2,CP4_1030,10:30:00,front,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-30\front\1219_Front_Second_Floor_20260630094611_20260630103417_18923380.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-30\TUE_P2\CP4_1030\front.mp4,10:30:00,10:30:20,2629.0,20.0
2026-06-30,TUE_P2,P2,CP5_1040,10:40:00,back,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-30\back\1219_Back_Second_Floor_20260630095806_20260630104519_20039666.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-30\TUE_P2\CP5_1040\back.mp4,10:39:40,10:40:00,2494.0,20.0
2026-06-30,TUE_P2,P2,CP5_1040,10:40:00,front,prepared,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\real_cctv\2026-06-30\front\1219_Front_Second_Floor_20260630103417_20260630105959_19169395.mp4,F:\sohail\Class_Attendance_YuNet_SFace\cctv_videos\prepared_slots\2026-06-30\TUE_P2\CP5_1040\front.mp4,10:39:40,10:40:00,323.0,20.0
